col0 col1 "Scan rate (V/seg)"
-6.596978937496367 -6.596978937496366e-06 0.005
-12.714867481485506 -1.2714867481485505e-05 0.01
-17.752599737463164 -1.7752599737463165e-05 0.02
-24.003119819579517 -2.4003119819579514e-05 0.04
-28.321731552048217 -2.8321731552048216e-05 0.06
-31.40193473320975 -3.1401934733209745e-05 0.08
-34.07699441470372 -3.4076994414703715e-05 0.1
-36.84164519441896 -3.684164519441896e-05 0.125
-39.31674813241784 -3.931674813241784e-05 0.15
-42.934675584371426 -4.2934675584371424e-05 0.2
