col0 col1 "Scan rate (V/seg)"
6.33171529319096 6.33171529319096e-06 0.005
11.902688551603113 1.1902688551603113e-05 0.01
16.510415149627917 1.6510415149627918e-05 0.02
22.23409566171927 2.223409566171927e-05 0.04
26.088811042029747 2.6088811042029744e-05 0.06
29.28304837262361 2.928304837262361e-05 0.08
31.905674005087914 3.1905674005087914e-05 0.1
34.65111463941875 3.465111463941875e-05 0.125
36.34404893075184 3.6344048930751835e-05 0.15
40.597013982812925 4.0597013982812925e-05 0.2
